info	fecha_hora
== EJECUCIÓN CONSULTAS 17–41 ==	2025-10-15 12:33:08
titulo
== 17) Contar líneas y unidades por pedido ==
pedido	lineas	unidades
8	5	11
14	5	10
16	5	15
17	5	15
28	5	19
32	5	16
36	5	13
37	5	10
42	5	10
45	5	14
50	5	14
58	5	15
65	5	11
68	5	13
77	5	12
91	5	12
92	5	11
93	5	9
104	5	12
107	5	14
128	5	13
132	5	13
133	5	13
140	5	9
142	5	14
151	5	16
153	5	10
7	4	8
10	4	12
19	4	11
23	4	7
29	4	7
30	4	8
33	4	13
39	4	5
46	4	8
52	4	10
54	4	10
57	4	10
59	4	11
71	4	13
73	4	9
83	4	9
86	4	11
89	4	12
94	4	11
96	4	12
111	4	4
117	4	11
120	4	14
127	4	9
130	4	9
131	4	13
134	4	8
136	4	10
141	4	9
144	4	9
12	3	10
15	3	7
24	3	7
26	3	8
31	3	8
40	3	9
41	3	8
48	3	6
51	3	4
62	3	8
64	3	4
67	3	5
70	3	9
78	3	7
80	3	7
81	3	7
87	3	9
90	3	8
97	3	8
99	3	7
102	3	10
105	3	4
112	3	7
125	3	9
129	3	6
137	3	6
139	3	6
143	3	9
145	3	10
147	3	8
152	3	7
1	2	2
6	2	5
13	2	5
20	2	4
22	2	7
25	2	4
35	2	4
38	2	5
44	2	6
47	2	2
53	2	3
56	2	5
61	2	3
69	2	4
72	2	4
74	2	5
76	2	4
82	2	2
84	2	4
88	2	8
100	2	5
103	2	5
106	2	5
109	2	7
110	2	6
113	2	5
114	2	3
115	2	3
116	2	7
122	2	3
123	2	3
124	2	3
146	2	4
148	2	3
149	2	7
2	1	1
3	1	1
4	1	1
5	1	1
9	1	3
11	1	1
18	1	2
21	1	1
27	1	2
34	1	2
43	1	1
49	1	2
55	1	4
60	1	3
63	1	4
66	1	3
75	1	4
79	1	1
85	1	4
95	1	3
98	1	2
101	1	1
108	1	3
118	1	3
119	1	1
121	1	3
126	1	1
135	1	4
138	1	3
150	1	4
154	1	1
155	1	1
titulo
== 18) Productos NUNCA vendidos ==
titulo
== 19) Clientes sin ningún pedido ==
cliente
Irene Ramos
titulo
