46:  Para cada cliente, suma el total pagado por alquileres cuyo empleado pertenece a la tienda 1.
customer_id	first_name	last_name	total_amount
1	MARY	SMITH	64.83
2	PATRICIA	JOHNSON	60.85
3	LINDA	WILLIAMS	64.86
4	BARBARA	JONES	49.88
5	ELIZABETH	BROWN	73.83
6	JENNIFER	DAVIS	56.84
7	MARIA	MILLER	80.82
8	SUSAN	WILSON	57.86
9	MARGARET	MOORE	39.88
10	DOROTHY	TAYLOR	40.88
11	LISA	ANDERSON	60.87
12	NANCY	THOMAS	31.90
13	KAREN	JACKSON	76.83
14	BETTY	WHITE	75.80
15	HELEN	HARRIS	72.82
16	SANDRA	MARTIN	65.88
17	DONNA	THOMPSON	35.90
18	CAROL	GARCIA	37.92
19	RUTH	MARTINEZ	63.88
20	SHARON	ROBINSON	35.89
21	MICHELLE	CLARK	85.82
22	LAURA	RODRIGUEZ	89.83
23	SARAH	LEWIS	55.87
24	KIMBERLY	LEE	34.88
25	DEBORAH	WALKER	74.82
26	JESSICA	HALL	104.78
27	SHIRLEY	ALLEN	65.85
28	CYNTHIA	YOUNG	52.86
29	ANGELA	HERNANDEZ	75.80
30	MELISSA	KING	66.82
31	BRENDA	WRIGHT	31.90
32	AMY	LOPEZ	56.87
33	ANNA	HILL	70.84
34	REBECCA	SCOTT	42.87
35	VIRGINIA	GREEN	99.77
36	KATHLEEN	ADAMS	42.88
37	PAMELA	BAKER	57.87
38	MARTHA	GONZALEZ	61.84
39	DEBRA	NELSON	60.87
40	AMANDA	CARTER	58.86
41	STEPHANIE	MITCHELL	50.88
42	CAROLYN	PEREZ	68.83
43	CHRISTINE	ROBERTS	47.89
44	MARIE	TURNER	56.86
45	JANET	PHILLIPS	84.84
46	CATHERINE	CAMPBELL	50.85
47	FRANCES	PARKER	42.90
48	ANN	EVANS	32.93
49	JOYCE	EDWARDS	54.87
50	DIANE	COLLINS	78.84
51	ALICE	STEWART	84.79
52	JULIE	SANCHEZ	49.86
53	HEATHER	MORRIS	62.84
54	TERESA	ROGERS	67.85
55	DORIS	REED	61.87
56	GLORIA	COOK	77.83
57	EVELYN	MORGAN	29.89
58	JEAN	BELL	61.86
59	CHERYL	MURPHY	74.85
60	MILDRED	BAILEY	60.85
61	KATHERINE	RIVERA	26.93
62	JOAN	COOPER	35.89
63	ASHLEY	RICHARDSON	60.88
64	JUDITH	COX	58.82
65	ROSE	HOWARD	67.88
66	JANICE	WARD	82.81
67	KELLY	TORRES	47.91
68	NICOLE	PETERSON	35.90
69	JUDY	GRAY	53.87
70	CHRISTINA	RAMIREZ	50.89
71	KATHY	JAMES	85.82
72	THERESA	WATSON	28.89
73	BEVERLY	BROOKS	53.87
74	DENISE	KELLY	33.90
75	TAMMY	SANDERS	87.79
76	IRENE	PRICE	23.94
77	JANE	BENNETT	40.87
78	LORI	WOOD	55.87
79	RACHEL	BARNES	42.87
80	MARILYN	ROSS	76.85
81	ANDREA	HENDERSON	52.86
82	KATHRYN	COLEMAN	59.89
83	LOUISE	JENKINS	34.91
84	SARA	PERRY	59.88
85	ANNE	POWELL	51.87
86	JACQUELINE	LONG	65.85
87	WANDA	PATTERSON	65.84
88	BONNIE	HUGHES	60.87
89	JULIA	FLORES	67.84
90	RUBY	WASHINGTON	50.88
91	LOIS	BUTLER	54.84
92	TINA	SIMMONS	63.84
93	PHYLLIS	FOSTER	41.88
94	NORMA	GONZALES	45.89
95	PAULA	BRYANT	37.92
96	DIANA	ALEXANDER	57.84
97	ANNIE	RUSSELL	19.92
98	LILLIAN	GRIFFIN	44.89
99	EMILY	DIAZ	27.90
100	ROBIN	HAYES	43.88
101	PEGGY	MYERS	36.91
102	CRYSTAL	FORD	65.86
103	GLADYS	HAMILTON	60.84
104	RITA	GRAHAM	53.86
105	DAWN	SULLIVAN	42.91
106	CONNIE	WALLACE	63.87
107	FLORENCE	WOODS	60.87
108	TRACY	COLE	57.85
109	EDNA	WEST	43.88
