81:  Para cada cliente, muestra el total pagado con IVA teórico del 21% aplicado (total*1.21), redondeado a 2 decimales.
customer_id	first_name	last_name	total_with_vat_21
1	MARY	SMITH	143.60
2	PATRICIA	JOHNSON	155.76
3	LINDA	WILLIAMS	164.25
4	BARBARA	JONES	98.95
5	ELIZABETH	BROWN	174.99
6	JENNIFER	DAVIS	113.40
7	MARIA	MILLER	183.52
8	SUSAN	WILSON	112.24
9	MARGARET	MOORE	108.62
10	DOROTHY	TAYLOR	120.70
11	LISA	ANDERSON	129.18
12	NANCY	THOMAS	125.50
13	KAREN	JACKSON	159.39
14	BETTY	WHITE	142.44
15	HELEN	HARRIS	162.96
16	SANDRA	MARTIN	143.65
17	DONNA	THOMPSON	119.54
18	CAROL	GARCIA	111.05
19	RUTH	MARTINEZ	152.17
20	SHARON	ROBINSON	140.00
21	MICHELLE	CLARK	188.34
22	LAURA	RODRIGUEZ	137.67
23	SARAH	LEWIS	144.84
24	KIMBERLY	LEE	115.86
25	DEBORAH	WALKER	140.01
26	JESSICA	HALL	184.72
27	SHIRLEY	ALLEN	153.29
28	CYNTHIA	YOUNG	135.13
29	ANGELA	HERNANDEZ	170.17
30	MELISSA	KING	149.63
31	BRENDA	WRIGHT	126.74
32	AMY	LOPEZ	154.53
33	ANNA	HILL	111.07
34	REBECCA	SCOTT	108.61
35	VIRGINIA	GREEN	156.91
36	KATHLEEN	ADAMS	112.20
37	PAMELA	BAKER	115.88
38	MARTHA	GONZALEZ	154.47
39	DEBRA	NELSON	171.47
40	AMANDA	CARTER	133.98
41	STEPHANIE	MITCHELL	143.69
42	CAROLYN	PEREZ	142.42
43	CHRISTINE	ROBERTS	120.71
44	MARIE	TURNER	138.84
45	JANET	PHILLIPS	154.55
46	CATHERINE	CAMPBELL	172.62
47	FRANCES	PARKER	131.62
48	ANN	EVANS	92.96
49	JOYCE	EDWARDS	158.17
50	DIANE	COLLINS	205.28
51	ALICE	STEWART	167.79
52	JULIE	SANCHEZ	130.33
53	HEATHER	MORRIS	140.00
54	TERESA	ROGERS	155.74
55	DORIS	REED	121.94
56	GLORIA	COOK	164.20
57	EVELYN	MORGAN	138.81
58	JEAN	BELL	140.03
59	CHERYL	MURPHY	161.81
60	MILDRED	BAILEY	119.49
61	KATHERINE	RIVERA	71.22
62	JOAN	COOPER	102.57
63	ASHLEY	RICHARDSON	136.43
64	JUDITH	COX	121.81
65	ROSE	HOWARD	125.57
66	JANICE	WARD	175.04
67	KELLY	TORRES	120.73
68	NICOLE	PETERSON	114.68
69	JUDY	GRAY	117.07
70	CHRISTINA	RAMIREZ	97.79
71	KATHY	JAMES	156.94
72	THERESA	WATSON	120.64
73	BEVERLY	BROOKS	118.29
74	DENISE	KELLY	125.51
75	TAMMY	SANDERS	188.26
76	IRENE	PRICE	94.10
77	JANE	BENNETT	121.87
