60:  Para cada cliente, calcula el total pagado en pagos procesados por el empleado 2.
customer_id	first_name	last_name	total_paid_by_staff2
1	MARY	SMITH	53.85
2	PATRICIA	JOHNSON	67.88
3	LINDA	WILLIAMS	70.88
4	BARBARA	JONES	31.90
5	ELIZABETH	BROWN	70.79
6	JENNIFER	DAVIS	36.88
7	MARIA	MILLER	70.85
8	SUSAN	WILSON	34.90
9	MARGARET	MOORE	49.89
10	DOROTHY	TAYLOR	58.87
11	LISA	ANDERSON	45.89
12	NANCY	THOMAS	71.82
13	KAREN	JACKSON	54.90
14	BETTY	WHITE	41.92
15	HELEN	HARRIS	61.86
16	SANDRA	MARTIN	52.84
17	DONNA	THOMPSON	62.89
18	CAROL	GARCIA	53.86
19	RUTH	MARTINEZ	61.88
20	SHARON	ROBINSON	79.81
21	MICHELLE	CLARK	69.83
22	LAURA	RODRIGUEZ	23.95
23	SARAH	LEWIS	63.83
24	KIMBERLY	LEE	60.87
25	DEBORAH	WALKER	40.89
26	JESSICA	HALL	47.88
27	SHIRLEY	ALLEN	60.84
28	CYNTHIA	YOUNG	58.82
29	ANGELA	HERNANDEZ	64.84
30	MELISSA	KING	56.84
31	BRENDA	WRIGHT	72.84
32	AMY	LOPEZ	70.84
33	ANNA	HILL	20.95
34	REBECCA	SCOTT	46.89
35	VIRGINIA	GREEN	29.91
36	KATHLEEN	ADAMS	49.85
37	PAMELA	BAKER	37.90
38	MARTHA	GONZALEZ	65.82
39	DEBRA	NELSON	80.84
40	AMANDA	CARTER	51.87
41	STEPHANIE	MITCHELL	67.87
42	CAROLYN	PEREZ	48.87
43	CHRISTINE	ROBERTS	51.87
44	MARIE	TURNER	57.88
45	JANET	PHILLIPS	42.89
46	CATHERINE	CAMPBELL	91.81
47	FRANCES	PARKER	65.88
48	ANN	EVANS	43.90
49	JOYCE	EDWARDS	75.85
50	DIANE	COLLINS	90.81
51	ALICE	STEWART	53.88
52	JULIE	SANCHEZ	57.85
53	HEATHER	MORRIS	52.86
54	TERESA	ROGERS	60.86
55	DORIS	REED	38.91
56	GLORIA	COOK	57.87
57	EVELYN	MORGAN	84.83
58	JEAN	BELL	53.87
59	CHERYL	MURPHY	58.88
60	MILDRED	BAILEY	37.90
61	KATHERINE	RIVERA	31.93
62	JOAN	COOPER	48.88
63	ASHLEY	RICHARDSON	51.87
64	JUDITH	COX	41.85
65	ROSE	HOWARD	35.90
66	JANICE	WARD	61.85
67	KELLY	TORRES	51.87
68	NICOLE	PETERSON	58.88
69	JUDY	GRAY	42.88
70	CHRISTINA	RAMIREZ	29.93
71	KATHY	JAMES	43.88
72	THERESA	WATSON	70.81
73	BEVERLY	BROOKS	43.89
74	DENISE	KELLY	69.83
75	TAMMY	SANDERS	67.80
76	IRENE	PRICE	53.83
77	JANE	BENNETT	59.85
78	LORI	WOOD	85.82
79	RACHEL	BARNES	41.91
80	MARILYN	ROSS	60.85
81	ANDREA	HENDERSON	40.92
82	KATHRYN	COLEMAN	70.85
83	LOUISE	JENKINS	66.84
84	SARA	PERRY	81.79
85	ANNE	POWELL	35.90
86	JACQUELINE	LONG	82.82
87	WANDA	PATTERSON	79.86
88	BONNIE	HUGHES	26.92
89	JULIA	FLORES	66.84
90	RUBY	WASHINGTON	59.84
91	LOIS	BUTLER	58.81
92	TINA	SIMMONS	69.88
93	PHYLLIS	FOSTER	49.89
94	NORMA	GONZALES	33.90
95	PAULA	BRYANT	39.90
96	DIANA	ALEXANDER	47.89
97	ANNIE	RUSSELL	38.90
98	LILLIAN	GRIFFIN	61.86
99	EMILY	DIAZ	63.86
100	ROBIN	HAYES	58.88
101	PEGGY	MYERS	59.85
102	CRYSTAL	FORD	71.81
103	GLADYS	HAMILTON	85.85
104	RITA	GRAHAM	38.90
105	DAWN	SULLIVAN	77.83
106	CONNIE	WALLACE	36.90
107	FLORENCE	WOODS	65.83
108	TRACY	COLE	74.85
109	EDNA	WEST	63.86
110	TIFFANY	JORDAN	23.94
111	CARMEN	OWENS	72.80
112	ROSA	REYNOLDS	75.84
113	CINDY	FISHER	61.85
114	GRACE	ELLIS	64.86
115	WENDY	HARRISON	34.85
116	VICTORIA	GIBSON	72.85
117	EDITH	MCDONALD	19.94
118	KIM	CRUZ	50.90
119	SHERRY	MARSHALL	84.80
120	SYLVIA	ORTIZ	74.82
121	JOSEPHINE	GOMEZ	65.85
122	THELMA	MURRAY	79.82
123	SHANNON	FREEMAN	51.89
124	SHEILA	WELLS	42.89
125	ETHEL	WEBB	48.88
126	ELLEN	SIMPSON	54.87
127	ELAINE	STEVENS	47.89
128	MARJORIE	TUCKER	78.80
129	CARRIE	PORTER	64.84
130	CHARLOTTE	HUNTER	45.89
131	MONICA	HICKS	42.89
132	ESTHER	CRAWFORD	32.88
133	PAULINE	HENRY	49.86
134	EMMA	BOYD	37.87
135	JUANITA	MASON	51.88
136	ANITA	MORALES	34.91
137	RHONDA	KENNEDY	78.84
138	HAZEL	WARREN	36.89
139	AMBER	DIXON	53.87
140	EVA	RAMOS	23.95
141	DEBBIE	REYES	64.86
142	APRIL	BURNS	46.89
143	LESLIE	GORDON	32.92
144	CLARA	SHAW	102.80
145	LUCILLE	HOLMES	72.82
146	JAMIE	RICE	59.88
147	JOANNE	ROBERTSON	78.80
148	ELEANOR	HUNT	110.78
149	VALERIE	BLACK	53.89
150	DANIELLE	DANIELS	59.87
151	MEGAN	PALMER	41.86
152	ALICIA	MILLS	28.92
153	SUZANNE	NICHOLS	45.90
154	MICHELE	GRANT	64.87
155	GAIL	KNIGHT	43.90
156	BERTHA	FERGUSON	63.85
157	DARLENE	ROSE	44.86
158	VERONICA	STONE	56.87
159	JILL	HAWKINS	45.88
160	ERIN	DUNN	51.86
161	GERALDINE	PERKINS	44.87
162	LAUREN	HUDSON	27.92
163	CATHY	SPENCER	80.82
164	JOANN	GARDNER	36.90
165	LORRAINE	STEPHENS	54.88
166	LYNN	PAYNE	61.86
167	SALLY	PIERCE	48.87
168	REGINA	BERRY	57.84
169	ERICA	MATTHEWS	54.87
170	BEATRICE	ARNOLD	65.85
171	DOLORES	WAGNER	77.83
172	BERNICE	WILLIS	82.83
173	AUDREY	RAY	57.84
