67:  Para cada cliente, cuenta en cuántos meses distintos de 2005 realizó pagos (meses distintos).
customer_id	first_name	last_name	active_months_2005
1	MARY	SMITH	4
2	PATRICIA	JOHNSON	4
3	LINDA	WILLIAMS	4
4	BARBARA	JONES	3
5	ELIZABETH	BROWN	4
6	JENNIFER	DAVIS	4
7	MARIA	MILLER	4
8	SUSAN	WILSON	4
9	MARGARET	MOORE	4
10	DOROTHY	TAYLOR	4
11	LISA	ANDERSON	4
12	NANCY	THOMAS	4
13	KAREN	JACKSON	3
14	BETTY	WHITE	4
15	HELEN	HARRIS	3
16	SANDRA	MARTIN	4
17	DONNA	THOMPSON	4
18	CAROL	GARCIA	4
19	RUTH	MARTINEZ	4
20	SHARON	ROBINSON	4
21	MICHELLE	CLARK	4
22	LAURA	RODRIGUEZ	4
23	SARAH	LEWIS	4
24	KIMBERLY	LEE	4
25	DEBORAH	WALKER	4
26	JESSICA	HALL	4
27	SHIRLEY	ALLEN	4
28	CYNTHIA	YOUNG	4
29	ANGELA	HERNANDEZ	4
30	MELISSA	KING	3
31	BRENDA	WRIGHT	3
32	AMY	LOPEZ	4
33	ANNA	HILL	4
34	REBECCA	SCOTT	3
35	VIRGINIA	GREEN	4
36	KATHLEEN	ADAMS	4
37	PAMELA	BAKER	4
38	MARTHA	GONZALEZ	3
39	DEBRA	NELSON	3
40	AMANDA	CARTER	4
41	STEPHANIE	MITCHELL	3
42	CAROLYN	PEREZ	4
43	CHRISTINE	ROBERTS	4
44	MARIE	TURNER	4
45	JANET	PHILLIPS	4
46	CATHERINE	CAMPBELL	4
47	FRANCES	PARKER	4
48	ANN	EVANS	4
49	JOYCE	EDWARDS	4
50	DIANE	COLLINS	4
51	ALICE	STEWART	4
52	JULIE	SANCHEZ	4
53	HEATHER	MORRIS	4
54	TERESA	ROGERS	4
55	DORIS	REED	4
56	GLORIA	COOK	4
57	EVELYN	MORGAN	4
58	JEAN	BELL	4
59	CHERYL	MURPHY	4
60	MILDRED	BAILEY	4
61	KATHERINE	RIVERA	3
62	JOAN	COOPER	4
63	ASHLEY	RICHARDSON	3
64	JUDITH	COX	4
65	ROSE	HOWARD	4
66	JANICE	WARD	4
67	KELLY	TORRES	4
68	NICOLE	PETERSON	3
69	JUDY	GRAY	4
70	CHRISTINA	RAMIREZ	4
71	KATHY	JAMES	4
72	THERESA	WATSON	4
73	BEVERLY	BROOKS	4
74	DENISE	KELLY	4
75	TAMMY	SANDERS	4
76	IRENE	PRICE	4
77	JANE	BENNETT	4
78	LORI	WOOD	3
79	RACHEL	BARNES	4
80	MARILYN	ROSS	3
81	ANDREA	HENDERSON	4
82	KATHRYN	COLEMAN	4
83	LOUISE	JENKINS	4
84	SARA	PERRY	4
85	ANNE	POWELL	4
86	JACQUELINE	LONG	4
87	WANDA	PATTERSON	4
88	BONNIE	HUGHES	4
89	JULIA	FLORES	4
90	RUBY	WASHINGTON	3
91	LOIS	BUTLER	4
92	TINA	SIMMONS	4
93	PHYLLIS	FOSTER	4
94	NORMA	GONZALES	4
95	PAULA	BRYANT	4
96	DIANA	ALEXANDER	3
97	ANNIE	RUSSELL	3
98	LILLIAN	GRIFFIN	4
99	EMILY	DIAZ	4
100	ROBIN	HAYES	4
101	PEGGY	MYERS	3
102	CRYSTAL	FORD	4
103	GLADYS	HAMILTON	4
104	RITA	GRAHAM	4
105	DAWN	SULLIVAN	4
106	CONNIE	WALLACE	4
107	FLORENCE	WOODS	4
108	TRACY	COLE	4
109	EDNA	WEST	4
110	TIFFANY	JORDAN	4
111	CARMEN	OWENS	4
112	ROSA	REYNOLDS	4
113	CINDY	FISHER	4
114	GRACE	ELLIS	4
115	WENDY	HARRISON	4
116	VICTORIA	GIBSON	4
117	EDITH	MCDONALD	4
118	KIM	CRUZ	4
119	SHERRY	MARSHALL	4
120	SYLVIA	ORTIZ	4
121	JOSEPHINE	GOMEZ	4
122	THELMA	MURRAY	4
123	SHANNON	FREEMAN	4
124	SHEILA	WELLS	4
125	ETHEL	WEBB	4
126	ELLEN	SIMPSON	4
127	ELAINE	STEVENS	4
128	MARJORIE	TUCKER	4
129	CARRIE	PORTER	3
130	CHARLOTTE	HUNTER	4
131	MONICA	HICKS	4
132	ESTHER	CRAWFORD	3
133	PAULINE	HENRY	4
134	EMMA	BOYD	4
135	JUANITA	MASON	4
136	ANITA	MORALES	4
137	RHONDA	KENNEDY	4
138	HAZEL	WARREN	4
139	AMBER	DIXON	3
140	EVA	RAMOS	3
141	DEBBIE	REYES	4
142	APRIL	BURNS	4
143	LESLIE	GORDON	4
144	CLARA	SHAW	4
145	LUCILLE	HOLMES	4
146	JAMIE	RICE	4
147	JOANNE	ROBERTSON	4
148	ELEANOR	HUNT	4
149	VALERIE	BLACK	4
150	DANIELLE	DANIELS	4
151	MEGAN	PALMER	4
152	ALICIA	MILLS	4
153	SUZANNE	NICHOLS	3
154	MICHELE	GRANT	4
155	GAIL	KNIGHT	4
156	BERTHA	FERGUSON	4
157	DARLENE	ROSE	4
158	VERONICA	STONE	4
159	JILL	HAWKINS	4
160	ERIN	DUNN	3
161	GERALDINE	PERKINS	4
162	LAUREN	HUDSON	4
163	CATHY	SPENCER	3
164	JOANN	GARDNER	4
165	LORRAINE	STEPHENS	4
166	LYNN	PAYNE	4
167	SALLY	PIERCE	4
168	REGINA	BERRY	4
169	ERICA	MATTHEWS	4
170	BEATRICE	ARNOLD	4
171	DOLORES	WAGNER	4
172	BERNICE	WILLIS	4
173	AUDREY	RAY	4
174	YVONNE	WATKINS	4
175	ANNETTE	OLSON	3
176	JUNE	CARROLL	4
177	SAMANTHA	DUNCAN	3
178	MARION	SNYDER	3
179	DANA	HART	4
180	STACY	CUNNINGHAM	4
181	ANA	BRADLEY	4
182	RENEE	LANE	4
183	IDA	ANDREWS	4
