92:  Para cada cliente, muestra el importe medio de sus pagos redondeado a 2 decimales, solo si ha hecho al menos 10 pagos.
customer_id	first_name	last_name	avg_payment
1	MARY	SMITH	3.71
2	PATRICIA	JOHNSON	4.77
3	LINDA	WILLIAMS	5.22
4	BARBARA	JONES	3.72
5	ELIZABETH	BROWN	3.81
6	JENNIFER	DAVIS	3.35
7	MARIA	MILLER	4.60
8	SUSAN	WILSON	3.87
9	MARGARET	MOORE	3.90
10	DOROTHY	TAYLOR	3.99
11	LISA	ANDERSON	4.45
12	NANCY	THOMAS	3.70
13	KAREN	JACKSON	4.88
14	BETTY	WHITE	4.20
15	HELEN	HARRIS	4.21
16	SANDRA	MARTIN	4.24
17	DONNA	THOMPSON	4.70
18	CAROL	GARCIA	4.17
19	RUTH	MARTINEZ	5.24
20	SHARON	ROBINSON	3.86
21	MICHELLE	CLARK	4.45
22	LAURA	RODRIGUEZ	5.17
23	SARAH	LEWIS	3.99
24	KIMBERLY	LEE	3.83
25	DEBORAH	WALKER	3.99
26	JESSICA	HALL	4.49
27	SHIRLEY	ALLEN	4.09
28	CYNTHIA	YOUNG	3.49
29	ANGELA	HERNANDEZ	3.91
30	MELISSA	KING	3.64
31	BRENDA	WRIGHT	4.03
32	AMY	LOPEZ	4.40
33	ANNA	HILL	4.37
34	REBECCA	SCOTT	3.74
35	VIRGINIA	GREEN	4.05
36	KATHLEEN	ADAMS	3.43
37	PAMELA	BAKER	4.16
38	MARTHA	GONZALEZ	3.75
39	DEBRA	NELSON	4.89
40	AMANDA	CARTER	4.10
41	STEPHANIE	MITCHELL	4.75
42	CAROLYN	PEREZ	3.92
43	CHRISTINE	ROBERTS	4.16
44	MARIE	TURNER	4.41
45	JANET	PHILLIPS	4.73
46	CATHERINE	CAMPBELL	4.20
47	FRANCES	PARKER	4.94
48	ANN	EVANS	4.52
49	JOYCE	EDWARDS	4.67
50	DIANE	COLLINS	4.85
51	ALICE	STEWART	4.20
52	JULIE	SANCHEZ	3.71
53	HEATHER	MORRIS	3.86
54	TERESA	ROGERS	4.44
55	DORIS	REED	4.58
56	GLORIA	COOK	4.52
57	EVELYN	MORGAN	4.10
58	JEAN	BELL	4.29
59	CHERYL	MURPHY	4.95
60	MILDRED	BAILEY	3.95
61	KATHERINE	RIVERA	4.20
62	JOAN	COOPER	3.69
63	ASHLEY	RICHARDSON	4.51
64	JUDITH	COX	3.05
65	ROSE	HOWARD	4.72
66	JANICE	WARD	4.25
67	KELLY	TORRES	4.54
68	NICOLE	PETERSON	4.31
69	JUDY	GRAY	3.87
70	CHRISTINA	RAMIREZ	4.49
71	KATHY	JAMES	4.32
72	THERESA	WATSON	3.32
73	BEVERLY	BROOKS	4.07
74	DENISE	KELLY	3.84
75	TAMMY	SANDERS	3.79
76	IRENE	PRICE	3.38
77	JANE	BENNETT	3.60
78	LORI	WOOD	4.57
79	RACHEL	BARNES	3.85
80	MARILYN	ROSS	4.59
81	ANDREA	HENDERSON	4.26
82	KATHRYN	COLEMAN	5.03
83	LOUISE	JENKINS	4.07
84	SARA	PERRY	4.29
85	ANNE	POWELL	3.82
86	JACQUELINE	LONG	4.51
87	WANDA	PATTERSON	4.86
88	BONNIE	HUGHES	4.18
89	JULIA	FLORES	4.21
90	RUBY	WASHINGTON	3.95
91	LOIS	BUTLER	3.25
92	TINA	SIMMONS	4.78
93	PHYLLIS	FOSTER	3.99
94	NORMA	GONZALES	3.80
95	PAULA	BRYANT	4.32
96	DIANA	ALEXANDER	3.92
97	ANNIE	RUSSELL	3.27
98	LILLIAN	GRIFFIN	4.27
99	EMILY	DIAZ	3.82
100	ROBIN	HAYES	4.28
101	PEGGY	MYERS	4.03
102	CRYSTAL	FORD	4.17
103	GLADYS	HAMILTON	4.73
104	RITA	GRAHAM	3.87
105	DAWN	SULLIVAN	4.64
106	CONNIE	WALLACE	4.38
107	FLORENCE	WOODS	4.22
108	TRACY	COLE	4.42
109	EDNA	WEST	4.14
110	TIFFANY	JORDAN	4.28
111	CARMEN	OWENS	3.76
112	ROSA	REYNOLDS	4.46
113	CINDY	FISHER	3.92
114	GRACE	ELLIS	4.23
115	WENDY	HARRISON	3.06
116	VICTORIA	GIBSON	4.14
117	EDITH	MCDONALD	3.78
118	KIM	CRUZ	3.94
119	SHERRY	MARSHALL	4.52
120	SYLVIA	ORTIZ	4.49
121	JOSEPHINE	GOMEZ	4.22
122	THELMA	MURRAY	3.96
123	SHANNON	FREEMAN	4.20
124	SHEILA	WELLS	4.10
125	ETHEL	WEBB	4.24
126	ELLEN	SIMPSON	4.20
127	ELAINE	STEVENS	4.49
128	MARJORIE	TUCKER	3.99
129	CARRIE	PORTER	3.67
130	CHARLOTTE	HUNTER	3.91
131	MONICA	HICKS	4.29
132	ESTHER	CRAWFORD	3.42
133	PAULINE	HENRY	3.66
134	EMMA	BOYD	4.12
135	JUANITA	MASON	3.69
136	ANITA	MORALES	4.19
137	RHONDA	KENNEDY	4.99
138	HAZEL	WARREN	3.25
139	AMBER	DIXON	4.21
140	EVA	RAMOS	4.66
141	DEBBIE	REYES	4.08
142	APRIL	BURNS	3.64
143	LESLIE	GORDON	4.08
144	CLARA	SHAW	4.66
145	LUCILLE	HOLMES	3.88
146	JAMIE	RICE	4.82
147	JOANNE	ROBERTSON	3.75
148	ELEANOR	HUNT	4.71
149	VALERIE	BLACK	4.68
150	DANIELLE	DANIELS	4.23
151	MEGAN	PALMER	3.43
152	ALICIA	MILLS	3.99
153	SUZANNE	NICHOLS	3.95
154	MICHELE	GRANT	4.36
155	GAIL	KNIGHT	4.39
156	BERTHA	FERGUSON	4.07
157	DARLENE	ROSE	3.67
158	VERONICA	STONE	3.96
159	JILL	HAWKINS	3.28
160	ERIN	DUNN	3.95
161	GERALDINE	PERKINS	3.76
162	LAUREN	HUDSON	3.59
163	CATHY	SPENCER	4.23
164	JOANN	GARDNER	4.18
165	LORRAINE	STEPHENS	4.13
166	LYNN	PAYNE	4.42
167	SALLY	PIERCE	3.74
168	REGINA	BERRY	3.99
169	ERICA	MATTHEWS	4.35
170	BEATRICE	ARNOLD	4.61
171	DOLORES	WAGNER	4.41
172	BERNICE	WILLIS	4.41
173	AUDREY	RAY	4.13
174	YVONNE	WATKINS	4.42
175	ANNETTE	OLSON	4.12
176	JUNE	CARROLL	4.69
177	SAMANTHA	DUNCAN	3.12
178	MARION	SNYDER	4.99
179	DANA	HART	4.61
180	STACY	CUNNINGHAM	4.29
181	ANA	BRADLEY	5.14
182	RENEE	LANE	3.76
183	IDA	ANDREWS	3.34
184	VIVIAN	RUIZ	3.95
185	ROBERTA	HARPER	3.69
186	HOLLY	FOX	3.70
187	BRITTANY	RILEY	5.70
188	MELANIE	ARMSTRONG	3.71
189	LORETTA	CARPENTER	4.26
190	YOLANDA	WEAVER	4.10
191	JEANETTE	GREENE	3.74
192	LAURIE	LAWRENCE	4.34
193	KATIE	ELLIOTT	4.39
194	KRISTEN	CHAVEZ	4.88
195	VANESSA	SIMS	4.57
196	ALMA	AUSTIN	4.33
197	SUE	PETERS	3.87
198	ELSIE	KELLEY	3.83
199	BETH	FRANKLIN	4.15
200	JEANNE	LAWSON	5.06
201	VICKI	FIELDS	4.35
202	CARLA	GUTIERREZ	3.99
203	TARA	RYAN	4.44
204	ROSEMARY	SCHMIDT	4.22
205	EILEEN	CARR	4.49
206	TERRI	VASQUEZ	4.69
207	GERTRUDE	CASTILLO	4.05
208	LUCY	WHEELER	3.53
209	TONYA	CHAPMAN	5.05
210	ELLA	OLIVER	4.44
211	STACEY	MONTGOMERY	4.46
212	WILMA	RICHARDS	4.59
213	GINA	WILLIAMSON	3.99
214	KRISTIN	JOHNSTON	3.76
215	JESSIE	BANKS	3.53
216	NATALIE	MEYER	4.16
217	AGNES	BISHOP	4.29
218	VERA	MCCOY	3.77
219	WILLIE	HOWELL	3.91
220	CHARLENE	ALVAREZ	4.25
221	BESSIE	MORRISON	4.74
222	DELORES	HANSEN	4.37
223	MELINDA	FERNANDEZ	4.75
224	PEARL	GARZA	3.49
225	ARLENE	HARVEY	4.64
226	MAUREEN	LITTLE	4.18
227	COLLEEN	BURTON	3.66
